3531;Aba                    ;utca;;0;;0;
3519;Abaúji                 ;utca;;0;;0;
3532;Acél                   ;utca;;0;;0;
3508;Áchim András           ;utca;;0;;0;
3508;Ács                    ;utca;;0;;0;
3524;Adler Károly           ;utca;;0;;0;
3519;Adriányi János;utca;Tapolca;0;;0;
3527;Ady Endre              ;utca;;0;;0;
3518;Advent;tér;;0;;0;
3529;Áfonyás                ;utca;;0;;0;
3516;Ág;utca;;0;;0;
3501;Ágazat;;;0;;0;
3526;Aggteleki              ;utca;;0;;0;
3516;Ághegy;;;0;;0;
3516;Ághegy;utca;;0;;0;
3521;Akácos                 ;utca       ;Szirma;0;;0;
3518;Akna                   ;utca       ;Pereces;0;;0;
3534;Aknász                 ;utca;;0;;0;
3525;Akó                    ;utca;;0;;0;
3534;Ákos                   ;utca;;0;;0;
3528;Alföldi                ;utca;;0;;0;
3534;Alkotás                ;utca;;0;;0;
3528;Alkotmány              ;utca;;0;;0;
3518;Állomás                ;tér      ;Pereces;0;;0;
3526;Állomás                ;utca;;0;;0;
3518;Alma;dűlőút;Erenyő;0;;0;
3518;Alma;utca;Pereces;0;;0;
3534;Almás ;utca;;0;;0;
3508;Almáskert              ;utca;;0;;0;
3526;Álmos                  ;utca;;0;;0;
3530;Alsó                   ;sor;;0;;0;
3525;Alsó Bábonyibérc;dűlő;;0;;0;
3521;Alsó kertek;utca;;0;;0;
3535;Alsó Papírgyár         ;telep;;0;;0;
3518;Alsókőpad;;;0;;0;
3501;Alsóruzsin;;;0;;0;
3501;Alsószentgyörgy;;;0;;0;
3533;Alsószinva             ;utca;;0;;0;
3531;Andor                  ;utca;;1;;7;
3531;Andor                  ;utca;;2;;6;
3532;Andor                  ;utca;;-3;;0;
3532;Andrássy Gyula         ;utca;;1;;39;
3532;Andrássy Gyula         ;utca;;2;;80;
3533;Andrássy Gyula         ;utca;;41;;59;
3534;Andrássy Gyula         ;utca;;-3;;0;
3508;Angyal ;park;Hejőcsaba;0;;0;
3525;Anna                   ;utca;;0;;0;
3532;Annabánya              ;telep;;0;;0;
3529;Apáczai Csere János    ;utca;;0;;0;
3519;Apát                   ;utca;;0;;0;
3516;Apátsági               ;út       ;Görömböly;0;;0;
3521;Apostol Bertalan;tér;;0;;0;
3519;Aradi                  ;sétány   ;Tapolca;0;;0;
3519;Aradi                  ;utca       ;Tapolca;0;;0;
3526;Arany János            ;tér;;0;;0;
3530;Arany János            ;utca;;0;;0;
3519;Aranyeső;utca;Tapolca;0;;0;
3521;Aranykalász;utca;;0;;0;
3534;Aranykapu;kert;;0;;0;
3530;Arnóti                 ;sor;;0;;0;
3535;Árnyas                 ;utca;;0;;0;
3525;Árok                   ;utca;;0;;0;
3534;Árpád                  ;út;;1;;67;
3534;Árpád                  ;út;;2;;70;
3535;Árpád                  ;út;;-3;;0;
3521;Árvácska               ;utca       ;Szirma;0;;0;
3533;Árvíz                  ;utca;;0;;0;
3519;Ásító;dűlő;;0;;0;
3508;Asztalos               ;utca       ;;0;;0;
3525;Attila                 ;utca;;0;;0;
3527;Augusztus 20.          ;utca;;0;;0;
3529;Aulich Lajos           ;utca;;0;;0;
3532;Avar                   ;utca;;0;;0;
3530;Avasalja               ;utca;;-3;;0;
3531;Avasalja               ;utca;;69;;111;
3528;Babér                  ;utca;;0;;0;
3521;Babits Mihály          ;utca       ;Szirma;0;;0;
3525;Bábonyibérc            ;dűlő;;0;;0;
3525;Bábonyibérc            ;hegy;;0;;0;
3525;Bábonyibérc            ;sor;;0;;0;
3525;Bábonyibérc Felső     ;sor;;0;;0;
3525;Bábonyi bérc;alsósor;;0;;0;
3525;Bábonyibérc Újtelep;;;0;;0;
3516;Bacsinszky András      ;utca       ;Görömböly;0;;0;
3508;Bádogos                ;utca       ;;0;;0;
3519;Baghy Gyula            ;utca       ;Tapolca;0;;0;
3519;Bagoly                 ;utca       ;Tapolca;0;;0;
3527;Bajcsy-Zsilinszky      ;út;;-1;;0;
3527;Bajcsy-Zsilinszky      ;út;;-3;;0;
3530;Bajcsy-Zsilinszky      ;út;;2;;26;
3528;Bajza József           ;utca;;0;;0;
3519;Bakonyi                ;utca       ;Tapolca;0;;0;
3528;Balassa;utca       ;;0;;0;
3508;Balassi Bálint         ;utca;;0;;0;
3528;Balaton                ;utca;;0;;0;
3532;Balázs Győző;tér;;0;;0;
3525;Balázsdiák             ;utca;;0;;0;
3534;Bálint                 ;utca;;0;;0;
3533;Ballagi Károly         ;utca;;0;;0;
3529;Balogh Ádám            ;utca;;0;;0;
3534;Bánát                  ;utca;;0;;0;
3525;Bandzsalgó             ;utca;;0;;0;
3501;Bandzsalgó             ;dűlő;;0;;0;
3535;Bánfolyás              ;utca;;0;;0;
3535;Bánki Donát            ;utca;;0;;0;
3517;Bánkút;;;0;;0;
3518;Bánya                  ;utca       ;Pereces;0;;0;
3534;Bányamécs              ;utca;;0;;0;
